Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
ZMB,754,Zambia,Inflation,Headline Consumer Price Inflation,17.86,6.58,7.49,9.8,15.73,22.02,10.99,Annual average inflation
ZWE,698,Zimbabwe,Inflation,Headline Consumer Price Inflation,-1.57,0.91,10.61,255.29,557.21,98.55,284.94,Annual average inflation
,,,,,,,,,,,,
VGB,284,British Virgin Islands,Inflation,Headline Consumer Price Inflation,1.1,1.2,2.1,1.4,0.4,2.8,,Additional countries from the previous update
XXK,383,Kosovo,Inflation,Headline Consumer Price Inflation,0.27,1.49,1.05,2.68,0.19,3.36,,Additional countries from the previous update
LIE,423,Liechtenstein,Inflation,Headline Consumer Price Inflation,-0.41,0.51,0.92,0.4,-0.7,0.51,2.83,Additional countries from the previous update
MTQ,474,Martinique,Inflation,Headline Consumer Price Inflation,,,,,,,,Additional countries from the previous update
MSR,664,Montserratit,Inflation,Headline Consumer Price Inflation,-0.25,1.19,1.31,-1.07,-1.89,1.67,,Additional countries from the previous update
NCL,687,New Caledonia,Inflation,Headline Consumer Price Inflation,0.58,1.38,1.33,0.25,-0.53,0.62,,Additional countries from the previous update
NIU,570,Niue,Inflation,Headline Consumer Price Inflation,,,,,,,,Additional countries from the previous update
SHN,654,Saint Helena,Inflation,Headline Consumer Price Inflation,2.6,5.1,3.8,3.3,1.1,1.3,,Additional countries from the previous update
TLS,537,Timor-Leste,Inflation,Headline Consumer Price Inflation,-1.47,0.52,2.29,0.96,,,,Additional countries from the previous update
